country,gdp,continent
บางกะปิ,2.7,อาคารชุด
บางขุนเทียน,1.9,อาคารชุด
บางเขน,3.1,อาคารชุด
บางคอแหลม,15.8,อาคารชุด
บางแค,1.8,อาคารชุด
บางชัน,0,อาคารชุด
บางซื่อ,4.3,อาคารชุด
บางนา,3.7,อาคารชุด
บางบอน,1.2,อาคารชุด
บางพลัด,6.9,อาคารชุด
บางรัก,28.8,อาคารชุด
บึงกุ่ม,1.8,อาคารชุด
ปทุมวัน,49.8,อาคารชุด
ประเวศ,1.7,อาคารชุด
ป้อมปราบศัตรูพ่าย,0,อาคารชุด
พญาไท,6.1,อาคารชุด
พระโขนง,8.5,อาคารชุด
พระนคร,5.4,อาคารชุด
ภาษีเจริญ,2.8,อาคารชุด
มีนบุรี,2.2,อาคารชุด
ยานนาวา,9.2,อาคารชุด
ราชเทวี,11.5,อาคารชุด
ราษฎร์บูรณะ,1.7,อาคารชุด
ลาดกระบัง,1.7,อาคารชุด
ลาดพร้าว,3.8,อาคารชุด
ลุมพินี,27,อาคารชุด
วังทองหลาง,2.9,อาคารชุด
วัฒนา,22.2,อาคารชุด
สวนหลวง,3.2,อาคารชุด
สะพานสูง,0,อาคารชุด
สาทร,33.5,อาคารชุด
สายไหม,1.8,อาคารชุด
หนองแขม,0,อาคารชุด
หนองจอก,0,อาคารชุด
หลักสี่,2.4,อาคารชุด
ห้วยขวาง,5.4,อาคารชุด

